Row,ID,Name,Description,Brand,Category,Price
1,1516960558066,Cross-platform secondary moderator,Listen capital daughter assume still argue. Build bad customer. Firm model present inside floor prove gas. Two watch pressure discuss try hold subject. Tough information enjoy here certainly live real.,Pearson Specter Litt,Electronics,466.61
2,6294714983160,Front-line uniform intranet,Rise arrive reveal hospital. Form simply later when. Person determine size debate moment. View community painting attorney. Cost worker information tax meet compare. Reduce always goal career get table.,Delos Inc,Tools & Accessories,3.87
3,7646141708431,Sharable intermediate pricing structure,New candidate maintain week common nor. Both past final sport apply wife current. Nation pull pick drop response. Add career organization head form. Center culture total. Better center act blood word team contain.,Weyland Yutani,Stationary & Cards,421.69
4,3585729282496,Polarized neutral support,High his officer. Stand wait series leave grow. Back would feel. Energy effort character hotel together serious tree. Class policy each program. Just player although range send road whom.,The Estelle,Electronics,482.47
5,8218833098824,Integrated tangible groupware,Year trouble age chance. Test describe trade American write her second. Here light radio reflect form far sort.,Yubaba,Personal Care,211.55
6,8572332669405,Profit-focused methodical leverage,Executive new citizen he bed. Relate case here society later plan different page. Situation international rich certain. Produce price force factor near might local. Shoulder hospital exactly public above year fall new. Major specific condition serious tax fund bring list.,Entertainment 720,Watches,188.84
7,3636593343643,Seamless client-server time-frame,Mean computer country and. Response return rich plant feel. Employee mind behind leave officer dark professional. Hand democratic five money security home on. During Mrs us explain which week.,Weyland Yutani,Stationary & Cards,342.4
8,7731527680811,Inverse even-keeled middleware,Program get college. Style item different get still recently same. Son throw visit agency nearly person song Congress. Check today American raise expect.,Hooli,Fashion,357.42
9,8724839556218,Switchable demand-driven hierarchy,Ok son other evidence vote suddenly. Rest live wide north newspaper question free list. Position administration within business across act scientist. Region fill happy. Would standard today. Job next difference thought executive pull wish whether.,Aperture Science,Gifts,151.25
10,8962722415253,Distributed dedicated superstructure,Floor give stop. Budget pay ball human itself company level. Nor style throughout police authority season teach. Add room between protect special although focus. Industry without source suffer prove same.,Aviato,Fashion,334.29
11,1094027058785,Universal global portal,Exist art recently design. Onto yourself edge phone. About speak stand size city. A message relationship improve.,"Monsters, Inc.",Baby,213.75
12,5939729837923,Grass-roots maximized success,Surface spring brother necessary. Still provide serious next in. Realize medical store case us traditional soon.,TelAmeriCorp,Plants & Gardening,127.81
13,7508402532561,Customer-focused heuristic software,Figure significant right claim main myself. Determine finish improve article. Throw subject mouth child.,Blue Cat Hotel,Personal Care,384.4
14,1506534477428,Quality-focused real-time access,Hundred hand become issue production final. Guy foreign sure take visit. According end company PM form.,Sterling Cooper,Baby,468.58
15,7811050057073,Synchronized impactful moratorium,Set explain democratic find condition interest successful. Authority build not. Pattern than design news direction indicate. Collection investment respond reflect step even.,InGen,Furniture,13.29
16,0904887834041,Fully-configurable local projection,Approach pass above interesting common range. Including respond information significant cost they. Idea nature shake better. Medical tell red interesting.,Rent a Swag,Toys & Games,364.76
17,8681894495572,Re-contextualized optimal knowledge user,Push common news clearly nature large phone. Provide strong tough nation market financial like. Avoid whole work. Agency president Democrat mother send morning. General stock candidate public certainly.,Weyland Yutani,Plants & Gardening,288.44
18,5790054887430,Synchronized 5thgeneration superstructure,Politics road security apply yes. Despite record throughout wife general water. Bed low establish public space listen direction.,Los Pollos Hermanos,Personal Care,137.6
19,9655466725175,Optional secondary ability,Should coach bed something home. Field item technology. Strategy include every offer.,Macmillan Toys,Gifts,319.45
20,2058641208260,Ameliorated bifurcated initiative,Smile reach great throw. Clearly tree increase arm never sell. Red watch child wonder significant. Individual whom draw walk car. Cover front purpose including which opportunity.,"Monsters, Inc.",Education,355.23
21,7513256601073,Profit-focused fresh-thinking data-warehouse,Enter beyond economic modern. Music grow speech argue quickly now. One story rise daughter teacher still. Her sometimes short speak. My notice evening word morning stay.,Umbrella Corp,Office Supplies,486.5
22,4739493044678,Digitized heuristic functionalities,Could son probably stage. Something buy appear bag beyond painting. Sea another must lawyer expect myself address. When outside Mr policy give into morning. Agent management explain it approach recently. Tv everybody team similar.,Rand Enterprises,Shoes,138.16
23,5411431794850,Robust needs-based strategy,Little left place theory perhaps. Candidate goal food. Grow field area base wear.,Pide Piper,Baby,386.78
24,1076233131674,Synergistic local approach,Future consumer for top. Spend agree artist very area or police. Skin pass decision pattern cell sound no. Environment ask movie son during.,The Derek Zoolander,Education,454.83
25,3684708327279,Advanced global knowledgebase,Little idea hundred Mr away. Modern behavior similar go view. Oil collection life culture power positive. Open PM heart character star.,Black Mesa,Watches,415.1
26,5178482976351,Mandatory bottom-line flexibility,Office arrive eye down meet trial. Art pass responsibility take artist by behavior. That water bit wrong. Need direction time lot their letter toward. Former real off political film of figure.,Rearden Steel ,Stationary & Cards,289.83
